Date,Time,Station,SamplingMethod,Depth,Lab,OrigTaxon,Taxon,Kingdom,Phylum,Class,AlgalGroup,DiatomSoftbody,Genus,Species,Units_per_mL,Cells_per_mL,Biovolume_per_mL,PhytoForm,QualityCheck,Debris
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,563.04,1689.11,433666.78,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,375.36,750.72,580288.66,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Epithemia sorex,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Epithemia,sorex,187.68,187.68,217574.61,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Navicula sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Navicula,sp.,563.04,1689.11,484219.12,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,9946.99,527190.52,9045150.16,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,cf. Plagioselmis prolonga,Teleaulax amphioxeia,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Teleaulax,amphioxeia,3190.54,54239.25,7011714.83,i,Good,moderate
2017-11-14T00:00:00Z,02:03,SHER,NA,NA,BSA,Chroococcus microscopicus,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Soft Body,Eucapsis,microscopica,60432.66,39220797.48,10514403.44,c,Good,moderate
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Amphora sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Amphora,sp.,250.24,500.48,40254.99,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Cocconeis placentula,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Cocconeis,placentula,125.12,125.12,20448.49,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Cyclotella sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,Diatom,Cyclotella,sp.,375.36,1126.07,160006.78,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Nitzschia inconspicua,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,inconspicua,250.24,500.48,19891.98,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Nitzschia sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Nitzschia,sp.,375.36,1126.07,304924.69,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Rhoicosphenia abbreviata,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,Diatom,Rhoicosphenia,abbreviata,125.12,125.12,49655.38,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Chlorella,sp.,6631.33,351460.35,5806786.18,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Drepanochloris,nannoselene,125.12,125.12,330.33,i,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,cf. Oocystis sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Soft Body,Oocystis,sp.,125.12,500.48,7528.67,c,Good,low
2017-11-01T00:00:00Z,01:37,SHER,NA,NA,BSA,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Soft Body,Plagioselmis,nannoplanctica,125.12,125.12,42212.88,i,Good,low
