Site,site_no,station_nm,latitude,longitude
TRN,11311300,TURNER CUT NR HOLT CA,37.9925,-121.4538889
SYC,380831121281201,SYCAMORE SLOUGH NR TERMINOUS CA,38.142,-121.47
CCH41,11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,38.19395556,-121.6580028
TOL,11455485,SACRAMENTO R BL TOLAND LANDING NR RIO VISTA CA,38.07780833,-121.7672861
NFM,11336685,N MOKELUMNE NR WALNUT GROVE CA,38.22333333,-121.5072222
SFEI657,380906121411801,SAN FRANCISCO BAY WATER QUALITY PROJECT SITE 657,38.15166667,-121.6883306
DWS62,11455142,SACRAMENTO R DEEP WATER SHIP CHANNEL NR COURTLAND,38.34166667,-121.6438889
FPT,11447650,SACRAMENTO R A FREEPORT CA,38.45601954,-121.5013437
RRI,375747121215401,STATION NOT ESTABLISHED,37.963,-121.365
PTRI,375422122230001,SAN FRANCISCO BAY A RICHMOND POINT NR RICHMOND CA,37.90603056,-122.3999778
C10A,374045121155200,SAN JOAQUIN R A R MI 72.2 NR VERNALIS CA,37.679167,-121.264444
FT11,380250121351301,FRANKS TRACT SITE 1.1 NR BETHEL ISLAND CA,38.0472222,-121.5869444
CFL,11455508,SUISUN BAY A VAN SICKLE ISLAND NR PITTSBURG CA,38.04953056,-121.88755
GAM,380749121344701,GEORGIANA SLOUGH A TYLER ISLAND RD NR ISLETON CA,38.13028056,-121.5797
MDM,11312676,MIDDLE R AT MIDDLE RIVER CA,37.9427017,-121.5341175
JPT,11337190,SAN JOAQUIN R A JERSEY POINT CA,38.05214242,-121.6888428
WGA,11447890,SACRAMENTO R AB DELTA CROSS CHANNEL CA,38.25769218,-121.5182865
DEC,11455478,SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA,38.09325203,-121.7371772
USFPT,382740121301201,SACRAMENTO R A R MILE 46.4 A FREEPORT CA,38.46111944,-121.5034694
NMR,380837121333401,N MOKELUMNE R A TYLER ISLAND RD NR ISELTON CA,38.14366944,-121.5595389
MAL,381142122015801,FIRST MALLARD BRANCH NR FAIRFIELD CA,38.19489444,-122.0328139
SMS,380831121301301,S MOKELUMNE R A SYCAMORE SLOUGH NR TERMINOUS CA,38.14196111,-121.5036889
GRC,373158122102701,SAN FRANCISCO BAY A GRECO ISLAND NR SAN CARLOS CA,37.53271389,-122.1742306
SFEI27,373706122173001,SAN FRANCISCO BAY A COYOTE PT CA,37.6182671,-122.2927466
FT15,380216121370301,FRANKS TRACT SITE 1.5 NR BETHEL ISLAND CA,38.03777778,-121.6175
LPS,11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,38.09638889,-121.4961111
FT04,380250121370201,FRANKS TRACT SITE 0.4 NR BETHEL ISLAND CA,38.0472222,-121.6172222
FTMI11,375944121310401,MILDRED ISLAND SITE 1.1 NR ORWOOD CA,37.99555556,-121.5177778
LIB,11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.24301111,-121.6842861
SSB,11455276,SHAG SLOUGH AB LIBERTY ISLAND RD NR OXFORD CA,38.30791944,-121.6928306
MRH,11312685,MIDDLE R NR HOLT CA,38.00305556,-121.5108333
FT21,380215121352101,FRANKS TRACT SITE 2.1 NR BETHEL ISLAND CA,38.0375,-121.5891667
P3S2,380142121362301,FRANKS TRACT SITE P3S2 NR BETHEL ISLAND CA,38.02828056,-121.6063889
SLM,374027122130401,SAN FRANCISCO BAY 5.21 MI N OF SAN MATEO BRIDGE CA,37.6742,-122.2178
SJRBC,375831121223701,SAN JOAQUIN R A BUCKLEY COVE NR STOCKTON CA,37.97527778,-121.3769444
RICHB,375607122264701,SAN FRANCISCO BAY A RICHMOND-SAN RAFAEL BRIDGE CA,37.93527778,-122.4463889
GRZ,380631122032201,GRIZZLY BAY A SUISUN SLOUGH NR AVON CA,38.10853056,-122.0559806
CCH,11455350,CACHE SLOUGH A RYER ISLAND,38.21277778,-121.6691667
P7S3,380247121373301,FRANKS TRACT SITE P7S3 NR BETHEL ISLAND CA,38.0463333,-121.6259444
UGZ,380756122004201,GRIZZLY BAY A GRIZZLY ISLAND NR BIRD LANDING CA,38.132238890000004,-122.0116806
SPB2,380411122275201,SAN PABLO BAY NR ST VINCENT CA,38.0696611,-122.4644389
MRB,11312674,MIDDLE R A BORDEN HWY NR TRACY CA,37.89159208,-121.4899492
PPT,11313460,SAN JOAQUIN R A PRISONERS PT NR TERMINOUS CA,38.05944444,-121.5572222
HOOD,382205121311300,SACRAMENTO R A HOOD CA,38.36796663,-121.5213432
14MILE,380232121241801,FOURTEENMILE SLOUGH NR TERMINOUS CA,38.04221944,-121.405
FT02,380315121355301,FRANKS TRACT SITE 0.2 NR BETHEL ISLAND CA,38.05416667,-121.5980556
ORF,380300121344801,OLD R A FRANKS TRACT NR BETHEL ISLAND CA,38.05,-121.58
ORCC,11313250,OLD R A CLIFTON COURT FERRY CA,37.82437145,-121.5524492
FT14,380227121364301,FRANKS TRACT SITE 1.4 NR BETHEL ISLAND CA,38.0408333,-121.6119444
SJRST,375649121202101,SAN JOAQUIN R NR STOCKTON CA,37.94686848,-121.3402249
FT05,380239121374401,FRANKS TRACT SITE 0.5 NR BETHEL ISLAND CA,38.04416667,-121.6288889
TOEN,11455139,TOE DRAIN A MALLARD RD NR COURTLAND CA,38.36513889,-121.6377417
MLD,11185185,SUISUN BAY A MALLARD IS CA,38.04269787,-121.9202374
SNAG,380414121580401,HONKER BAY A SNAG ISLAND NR MONTEZUMA CA,38.07045,-121.96771939999999
SIS,380711121323401,STATEN ISLAND DRAIN NR TERMINOUS CA,38.1198,-121.5428972
SFEI22,374554122213001,SAN FRANCISCO BAY WATER QUALITY PROJECT SITE 22,37.765,-122.3583306
SJW,380131121280501,SAN JOAQUIN R A TINSLEY ISLAND NR TERMINOUS CA,38.03908889,-121.4927778
ORI,11313325,OLD R A INDIAN SLOUGH CA,37.91436901,-121.5655064
HAY,373642122120401,SAN FRANCISCO BAY 0.57 MI N OF SAN MATEO BRIDGE CA,37.611739,-122.2012
FTMI13,375918121310901,MILDRED ISLAND SITE 1.3 NR ORWOOD CA,37.9883333,-121.5191667
MID PROSPECT,381821121392701,TOE DRAIN NR OXFORD CA,38.30573889,-121.6574611
TOE,11455140,TOE DRAIN A LIBERTY ISLAND NR COURTLAND CA,38.34916667,-121.6447222
SS,382010121402301,LIBERTY ISLAND A UPPER STAIR STEP NR FIVE POINTS C,38.33616667,-121.672925
