Station,oldest_date,newest_date,Latitude,Longitude
14MILE,8/18/2020,10/17/2022,38.04221944,-121.405
BAY,8/31/2022,8/31/2022,37.81548345,-122.3519149
BEN,9/1/2022,10/27/2022,38.0548972,-122.1072722
BIS,8/31/2022,8/31/2022,37.55988889,-122.2069056
BRK,9/1/2022,10/27/2022,37.8906611,-122.3465833
C10A,9/26/2022,10/26/2021,37.679167,-121.264444
CCH,7/26/2018,10/17/2018,38.21277778,-121.6691667
CCH41,9/17/2019,10/18/2022,38.19395556,-121.6580028
CCO2,3/10/2017,3/10/2017,38.67851526,-121.6727386
CFL,9/7/2022,1/12/2021,38.04953056,-121.88755
CHS,3/15/2017,3/15/2017,38.28838056,-121.7230194
DEC,9/23/2020,1/12/2021,38.09325203,-121.7371772
DECN,9/3/2020,6/9/2021,38.1025,-121.7111
DWS62,9/9/2021,1/20/2022,38.34166667,-121.6438889
DWS66,9/9/2021,9/9/2021,38.40444444,-121.6145556
DWS72,9/9/2021,1/20/2022,38.47686944,-121.5836417
DWS76,9/9/2021,9/9/2021,38.53725,-121.5839806
ELS,8/31/2022,10/26/2022,37.59437867,-122.1630206
EMY,9/1/2022,10/27/2022,37.836316,-122.3155255
FPT,9/14/2021,1/4/2022,38.45601954,-121.5013437
FRK,8/18/2021,8/18/2021,38.04585,-121.5968
FT01,8/9/2022,6/21/2022,38.05916667,-121.5869444
FT02,8/9/2022,6/21/2022,38.05416667,-121.5980556
FT03,6/7/2022,6/7/2022,38.05138889,-121.6077778
FT04,8/9/2022,6/21/2022,38.0472222,-121.6172222
FT05,8/9/2022,6/21/2022,38.04416667,-121.6288889
FT11,8/9/2022,6/21/2022,38.0472222,-121.5869444
FT12,8/9/2022,6/21/2022,38.04638889,-121.5930556
FT13,6/7/2022,6/7/2022,38.04388889,-121.6016667
FT14,8/9/2022,6/21/2022,38.0408333,-121.6119444
FT15,8/9/2022,6/21/2022,38.03777778,-121.6175
FT21,8/9/2022,6/21/2022,38.0375,-121.5891667
FT22,8/9/2022,6/21/2022,38.0372222,-121.5941667
FT23,6/7/2022,6/7/2022,38.03305556,-121.6008333
FT24,8/9/2022,6/21/2022,38.0311111,-121.6052778
FT25,8/9/2022,6/21/2022,38.02888889,-121.6102778
FTA,9/28/2021,9/28/2021,38.0626111,-121.5953
FTB,9/28/2021,9/28/2021,38.05821944,-121.5917
FTC,9/28/2021,9/28/2021,38.05923889,-121.5844
FTD,9/28/2021,9/28/2021,38.06155,-121.5882
FTMI11,8/9/2022,6/21/2022,37.99555556,-121.5177778
FTMI12,6/7/2022,6/7/2022,37.9886111,-121.5191667
FTMI13,6/7/2022,6/7/2022,37.9883333,-121.5191667
FTMI14,8/9/2022,6/21/2022,37.97416667,-121.5205556
FTMI15,8/9/2022,6/21/2022,37.9861111,-121.52
FTMI21,8/9/2022,6/21/2022,37.9972222,-121.5213889
FTMI22,6/7/2022,6/7/2022,37.99,-121.5238889
FTMI23,6/7/2022,6/7/2022,37.98277778,-121.5258333
FTMI24,8/9/2022,6/21/2022,37.97388889,-121.5283333
FTMI25,8/9/2022,6/21/2022,37.98777778,-121.5258333
GAM,8/17/2020,10/18/2022,38.13028056,-121.5797
GRC,8/31/2022,8/31/2022,37.53271389,-122.1742306
GRZ,9/7/2021,1/25/2022,38.10853056,-122.0559806
GRZ@DWR,8/26/2021,6/16/2021,38.11694444,-122.0397222
HAY,8/31/2022,6/15/2022,37.611739,-122.2012
HBC,9/3/2020,6/9/2021,38.10185,-121.707461
HOOD,9/10/2019,10/19/2018,38.36796663,-121.5213432
HRS,9/7/2022,8/31/2022,37.627625,-122.1585639
JPT,9/7/2022,1/12/2021,38.05214242,-121.6888428
LCT,8/31/2021,3/1/2017,38.32885,-121.6675306
LHTN,8/31/2021,6/8/2021,38.33541111,-121.6581861
LIB,9/9/2022,1/18/2022,38.24301111,-121.6842861
LIBWS,8/31/2020,6/8/2021,38.24458333,-121.6860167
LIS,8/20/2019,3/1/2017,38.47478056,-121.588225
LPS,9/6/2022,10/13/2022,38.09638889,-121.4961111
LS1,7/18/2022,10/18/2022,38.26105,-121.748
MAL,9/17/2020,10/20/2020,38.19489444,-122.0328139
MAS,9/2/2020,6/7/2021,38.03971111,-121.7866694
MDM,9/6/2022,1/21/2022,37.9427017,-121.5341175
MDO,9/3/2020,6/9/2021,38.056975,-121.5407694
MGI,9/1/2022,10/27/2022,38.06037778,-122.0007056
MID PROSPECT,8/3/2016,5/6/2016,38.30573889,-121.6574611
MLD,7/26/2018,10/17/2018,38.04269787,-121.9202374
MOK,7/25/2018,10/18/2018,38.10611111,-121.5711111
MOK AB CFL,9/11/2019,9/11/2019,38.22931111,-121.4907611
MRB,8/19/2020,10/19/2018,37.89159208,-121.4899492
MRH,7/28/2021,10/19/2018,38.00305556,-121.5108333
MS1,7/18/2022,10/18/2022,38.28918889,-121.6148
MS2,7/18/2022,10/18/2022,38.26436667,-121.645675
MTP,9/3/2020,6/9/2021,38.06068056,-121.5389694
MTZI,3/23/2022,3/23/2022,38.07043889,-121.8395806
NEW HOPE,9/12/2019,9/11/2019,38.22555556,-121.4911111
NFM,9/12/2019,10/17/2022,38.22333333,-121.5072222
NMR,9/12/2019,10/17/2022,38.14366944,-121.5595389
