Date,Time,Station,Latitude,Longitude,SamplingMethod,SamplingDepth,OrigTaxon,Taxon,Kingdom,Phylum,Class,AlgalGroup,Genus,Species,Lab,Cells_per_mL,Biovolume_per_mL,QualityCheck,CurrentTaxon
2021-05-12T00:00:00Z,21:11:30,TRN,37.9925,-121.4538889,Submersible centrifugal pump,1 meter,NA,Tryblionella sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Tryblionella,sp.,BSA,4,40160.14,Good,None
2022-11-15T00:00:00Z,22:16:00,SFEI657,38.15166667,-121.6883306,Phytoplankton net,1 meter,NA,Eucapsis microscopica,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,microscopica,BSA,24567,6586.1,Degraded,None
2021-08-03T00:00:00Z,21:12:30,DWS62,38.34166667,-121.6438889,Submersible centrifugal pump,1 meter,NA,Aulacoseira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,sp.,BSA,428,1300939.21,Good,None
2022-11-02T00:00:00Z,22:13:00,FPT,38.45601954,-121.5013437,Peristaltic pump,1 meter,NA,cf. Dolichospermum sp.,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,sp.,BSA,4675,110155.53,Degraded,None
2022-09-26T00:00:00Z,22:09:20,RRI,37.963,-121.365,Van Dorn sampler,1 meter,NA,Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,499,614631.06,Degraded,None
2021-05-13T00:00:00Z,21:09:30,NFM,38.22333333,-121.5072222,Submersible centrifugal pump,1 meter,NA,Bacillaria paxillifera,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Bacillaria,paxillifera,BSA,4,5175.46,Good,None
2022-09-01T00:00:00Z,22:07:25,PTRI,37.90603056,-122.3999778,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,2593,10863.56,Degraded,None
2022-08-02T00:00:00Z,22:09:15,RRI,37.963,-121.365,Van Dorn sampler,1 meter,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlamydomonas,sp.,BSA,122,18431.25,Degraded,None
2022-08-02T00:00:00Z,22:10:15,C10A,37.679167,-121.264444,Van Dorn sampler,1 meter,NA,Sellaphora sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Sellaphora,sp.,BSA,122,70402.26,Degraded,None
2022-05-16T00:00:00Z,22:14:52,GAM,38.13028056,-121.5797,Submersible centrifugal pump,1 meter,NA,Achnanthidium minutissimum,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Achnanthidium,minutissimum,BSA,86,2687.89,Degraded,None
2022-04-22T00:00:00Z,22:10:30,MDM,37.9427017,-121.5341175,Submersible centrifugal pump,1 meter,NA,Staurosira sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Staurosira,sp.,BSA,24,1175.95,Good,None
2021-08-18T00:00:00Z,21:12:00,JPT,38.05214242,-121.6888428,Submersible centrifugal pump,1 meter,NA,Cocconeis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,BSA,95,14783.4,Good,None
2020-07-15T00:00:00Z,20:12:45,DEC,38.09325203,-121.7371772,Submersible centrifugal pump,1 meter,NA,Plagioselmis nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,nannoplanctica,BSA,362,46435.04,Good,None
2018-05-15T00:00:00Z,18:09:00,USFPT,38.46111944,-121.5034694,Submersible centrifugal pump,1 meter,NA,Neidium sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Neidium,sp.,BSA,6,2090.59,Good,None
2020-07-27T00:00:00Z,20:11:25,WGA,38.25769218,-121.5182865,Submersible centrifugal pump,1 meter,NA,Diatoma sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,sp.,BSA,33,21089.61,Good,None
2022-10-17T00:00:00Z,22:15:32,NMR,38.14366944,-121.5595389,Submersible centrifugal pump,1 meter,NA,Chlorella sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlorella,sp.,BSA,2068,8660.98,Degraded,None
2020-02-27T00:00:00Z,20:11:30,MAL,38.19489444,-122.0328139,Submersible centrifugal pump,1 meter,NA,Epithemia sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Epithemia,sp.,BSA,18,7022.59,Good,None
2018-10-18T00:00:00Z,18:10:40,SMS,38.14196111,-121.5036889,Submersible centrifugal pump,1 meter,NA,Monoraphidium sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Monoraphidium,sp.,BSA,11,61.32,Good,None
2022-07-12T00:00:00Z,22:09:00,JPT,38.05214242,-121.6888428,Submersible centrifugal pump,1 meter,NA,Fragilariopsis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilariopsis,sp.,BSA,31,10079.59,Degraded,None
2022-08-31T00:00:00Z,22:11:25,GRC,37.53271389,-122.1742306,Submersible centrifugal pump,1 meter,NA,Navicula sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Navicula,sp.,BSA,61,40318.36,Degraded,None
2021-03-02T00:00:00Z,21:11:15,MDM,37.9427017,-121.5341175,Submersible centrifugal pump,1 meter,NA,cf. Thalassiosira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Thalassiosira,sp.,BSA,232,13649.45,Good,None
2022-08-09T00:00:00Z,22:13:12,FT15,38.03777778,-121.6175,Submersible centrifugal pump,1 meter,NA,Ulnaria ulna,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Ulnaria,ulna,BSA,342,1535323.3,Degraded,None
2020-09-24T00:00:00Z,20:10:30,LPS,38.09638889,-121.4961111,Submersible centrifugal pump,1 meter,NA,Drepanochloris nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Drepanochloris,nannoselene,BSA,31,84,Good,None
2022-08-09T00:00:00Z,22:13:34,FT04,38.0472222,-121.6172222,Submersible centrifugal pump,1 meter,NA,Chlamydomonas sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,Chlamydomonas,sp.,BSA,214,28390.85,Degraded,None
2022-06-21T00:00:00Z,22:10:05,FTMI11,37.99555556,-121.5177778,Submersible centrifugal pump,1 meter,NA,Plagioselmis sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,sp.,BSA,244,20735.16,Degraded,None
2018-07-26T00:00:00Z,18:14:05,JPT,38.05214242,-121.6888428,Submersible centrifugal pump,1 meter,NA,Cocconeis sp.,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,BSA,13,3878.87,Good,None
2020-11-24T00:00:00Z,20:10:15,MDM,37.9427017,-121.5341175,Submersible centrifugal pump,1 meter,NA,Plagioselmis sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,Plagioselmis,sp.,BSA,530,68000.72,Good,None
2017-05-02T00:00:00Z,17:10:30,LIB,38.24301111,-121.6842861,Van Dorn sampler,1 meter,NA,Aulacoseira sp.,Chromista,Bacillariophyte,Coscinodiscophyceae,Centric Diatoms,Aulacoseira,sp.,BSA,74,14439.97,Good,None
2017-06-01T00:00:00Z,17:08:00,DEC,38.09325203,-121.7371772,Van Dorn sampler,1 meter,Rhoicosphenia curvata,Rhoicosphenia abbreviata,Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Rhoicosphenia,abbreviata,BSA,5,1332.92,Good,None
2018-10-17T00:00:00Z,18:15:44,SSB,38.30791944,-121.6928306,Submersible centrifugal pump,1 meter,NA,Coelosphaerium kuetzingianum,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Coelosphaerium,kuetzingianum,BSA,12,156,Good,None
2022-06-07T00:00:00Z,22:10:12,FT04,38.0472222,-121.6172222,Submersible centrifugal pump,1 meter,NA,Chrysococcus sp.,Chromista,Bacillariophyte,Chrysophyceae,Chrysophytes,Chrysococcus,sp.,BSA,61,5323.78,Degraded,None
